NIM,NIK,"Nama Mahasiswa",Prodi,"Tanggal Masuk",Status,"Jenis Kelamin",Angkatan
215100001,1234567890123001,"Dummy Mahasiswa 1",Akuntansi,2021-08-01,Aktif,L,2021
215100002,1234567890123002,"Dummy Mahasiswa 2","Sistem Informasi",2021-08-01,Aktif,L,2021
215100003,1234567890123003,"Dummy Mahasiswa 3","Ilmu Hukum",2021-08-01,Aktif,L,2021
215100004,1234567890123004,"Dummy Mahasiswa 4",Akuntansi,2021-08-01,Aktif,L,2021
215100005,1234567890123005,"Dummy Mahasiswa 5",Manajemen,2021-08-01,Aktif,P,2021
215100006,1234567890123006,"Dummy Mahasiswa 6",Akuntansi,2021-08-01,Aktif,P,2021
215100007,1234567890123007,"Dummy Mahasiswa 7",Manajemen,2021-08-01,Aktif,L,2021
215100008,1234567890123008,"Dummy Mahasiswa 8",Akuntansi,2021-08-01,Cuti,P,2021
215100009,1234567890123009,"Dummy Mahasiswa 9",Manajemen,2021-08-01,Cuti,L,2021
215100010,1234567890123010,"Dummy Mahasiswa 10","Ilmu Hukum",2021-08-01,Aktif,P,2021
215100011,1234567890123011,"Dummy Mahasiswa 11","Pembangunan Sosial",2021-08-01,Aktif,L,2021
215100012,1234567890123012,"Dummy Mahasiswa 12",Akuntansi,2021-08-01,Cuti,P,2021
215100013,1234567890123013,"Dummy Mahasiswa 13","Pembangunan Sosial",2021-08-01,Cuti,L,2021
215100014,1234567890123014,"Dummy Mahasiswa 14","Ilmu Hukum",2021-08-01,Cuti,P,2021
215100015,1234567890123015,"Dummy Mahasiswa 15","Sistem Informasi",2021-08-01,Aktif,P,2021
215100016,1234567890123016,"Dummy Mahasiswa 16",Manajemen,2021-08-01,Cuti,P,2021
215100017,1234567890123017,"Dummy Mahasiswa 17",Manajemen,2021-08-01,Aktif,P,2021
215100018,1234567890123018,"Dummy Mahasiswa 18",Manajemen,2021-08-01,Aktif,P,2021
215100019,1234567890123019,"Dummy Mahasiswa 19",Akuntansi,2021-08-01,Aktif,L,2021
215100020,1234567890123020,"Dummy Mahasiswa 20","Sistem Informasi",2021-08-01,Aktif,L,2021
215100021,1234567890123021,"Dummy Mahasiswa 21","Pembangunan Sosial",2021-08-01,Aktif,L,2021
215100022,1234567890123022,"Dummy Mahasiswa 22",Akuntansi,2021-08-01,Cuti,L,2021
215100023,1234567890123023,"Dummy Mahasiswa 23",Manajemen,2021-08-01,Cuti,P,2021
215100024,1234567890123024,"Dummy Mahasiswa 24",Akuntansi,2021-08-01,Aktif,L,2021
215100025,1234567890123025,"Dummy Mahasiswa 25",Akuntansi,2021-08-01,Aktif,L,2021
215100026,1234567890123026,"Dummy Mahasiswa 26",Akuntansi,2021-08-01,Aktif,L,2021
215100027,1234567890123027,"Dummy Mahasiswa 27",Akuntansi,2021-08-01,Cuti,L,2021
215100028,1234567890123028,"Dummy Mahasiswa 28",Manajemen,2021-08-01,Cuti,P,2021
215100029,1234567890123029,"Dummy Mahasiswa 29","Sistem Informasi",2021-08-01,Aktif,P,2021
215100030,1234567890123030,"Dummy Mahasiswa 30",Akuntansi,2021-08-01,Lulus,L,2021
215100031,1234567890123031,"Dummy Mahasiswa 31","Ilmu Hukum",2021-08-01,Aktif,P,2021
215100032,1234567890123032,"Dummy Mahasiswa 32",Akuntansi,2021-08-01,Aktif,L,2021
215100033,1234567890123033,"Dummy Mahasiswa 33","Pembangunan Sosial",2021-08-01,Cuti,L,2021
215100034,1234567890123034,"Dummy Mahasiswa 34",Manajemen,2021-08-01,Lulus,P,2021
215100035,1234567890123035,"Dummy Mahasiswa 35","Ilmu Hukum",2021-08-01,Aktif,L,2021
215100036,1234567890123036,"Dummy Mahasiswa 36","Pembangunan Sosial",2021-08-01,Aktif,P,2021
215100037,1234567890123037,"Dummy Mahasiswa 37",Akuntansi,2021-08-01,Lulus,P,2021
215100038,1234567890123038,"Dummy Mahasiswa 38",Manajemen,2021-08-01,Aktif,P,2021
215100039,1234567890123039,"Dummy Mahasiswa 39",Akuntansi,2021-08-01,Aktif,L,2021
215100040,1234567890123040,"Dummy Mahasiswa 40",Manajemen,2021-08-01,Aktif,P,2021
215100041,1234567890123041,"Dummy Mahasiswa 41",Akuntansi,2021-08-01,Aktif,L,2021
215100042,1234567890123042,"Dummy Mahasiswa 42","Sistem Informasi",2021-08-01,Cuti,P,2021
215100043,1234567890123043,"Dummy Mahasiswa 43","Pembangunan Sosial",2021-08-01,Aktif,P,2021
215100044,1234567890123044,"Dummy Mahasiswa 44",Manajemen,2021-08-01,Aktif,L,2021
215100045,1234567890123045,"Dummy Mahasiswa 45","Sistem Informasi",2021-08-01,Aktif,P,2021
215100046,1234567890123046,"Dummy Mahasiswa 46",Akuntansi,2021-08-01,Aktif,P,2021
215100047,1234567890123047,"Dummy Mahasiswa 47","Pembangunan Sosial",2021-08-01,Aktif,P,2021
215100048,1234567890123048,"Dummy Mahasiswa 48","Pembangunan Sosial",2021-08-01,Aktif,P,2021
215100049,1234567890123049,"Dummy Mahasiswa 49",Akuntansi,2021-08-01,Lulus,P,2021
215100050,1234567890123050,"Dummy Mahasiswa 50",Manajemen,2021-08-01,Lulus,P,2021
